	1-2	1-4	1-6	1-7	2-9	2-10	2-12	2-14	3-16	3-19	3-21	3-24	4-26	4-29	4-31
F7ATW4|VAPB	0.013284578588956986	-0.004016786931392624	0.0432644291294432	-0.036594508790327246	-0.05938965939279886	-0.07019171196877017	-0.010540284625623897	-0.009135141590552176	-0.08005721535696994	0.0680703354285446	0.045928686656499504	-0.1260131468521436	0.07026233567786659	0.17892478382753674	0.37926490453636563
A0A5F8AQL3|DMXL1	0.1745146247155984	0.1807295390393699	-0.005333444303040669	0.03829804402904664	0.08971687054195934	0.1688998919959217	0.11112854869267569	0.1493989500648923	0.12024143512886112	0.007869265188189728	0.00532360397754629	0.14855135064974526	0.05622450227758406	-0.010277927793300723	-0.20731225224688538
F7H7B6|AIP	0.04079026498885738	0.07045299633249878	0.10148634011934676	0.061567823351893855	0.17300721390299503	0.08567919891599304	0.11234344985153466	0.0870801736687507	0.013139389919477967	0.06178407258111346	-0.014742019076559545	-0.005313799896467852	0.00399454350502626	0.0699667597911417	0.14245622493847354
F7DRX8|PMPCA	-0.03375668837619668	-0.018841434374816335	-0.041859320328154856	-0.09114788805819542	0.010540284625623897	-0.025252791931911503	-0.021158143340903948	0.07230842303878643	-0.06065468413445427	0.04658433541732279	-0.04743905689600704	-0.011983691762322654	0.014592901845089254	-0.11138623541833452	0.020838518878833173
A0A5F7ZM49|UBA6	0.029066267856732386	0.034351504790777046	0.06378310446664398	0.04090218740920436	0.07848961511870509	-0.005279768164928561	-0.018496343617389457	0.0907495992354474	0.018361821109647597	0.07307969824228952	0.08164709915749095	0.021061615527829675	0.11157443070484103	0.055585448634630524	0.0934591910439138
F6XPL4|TIMM50	0.07919612762819248	0.1131096962193313	0.07646064686060658	0.11938389774870957	0.08349029617707154	0.13330528121709845	0.13762285829989254	0.22480635272291483	0.132334507116881	0.17094751606884728	0.18143474983608976	0.07995530458139793	0.22086777650140438	0.18253905304365547	0.2790374567977114
G7N8P6|ICA1L	0.09552632856876975	0.08565273349628945	0.03289460880783826	0.11691775177915083	0.10332146809864062	0.12728651970956922	0.04395647487128457	0.019382670059216317	-0.007941460644595486	0.040203541995600556	0.02903967295135383	0.09493151215418927	0.014592901845089254	0.0357406372377589	0.07098891024021886
F6X082|DOCK7	-0.12540956054816202	-0.04343342255720854	-0.19645266801447653	-0.11269176835430965	-0.11702079651808008	-0.03332007320002636	-0.13907966561197055	-0.07338449852449523	-0.07726939798535068	-0.07975708204531198	-0.171092163053065	-0.05403983971288917	-0.10650499776052455	-0.2027265469567602	-0.20731225224688538
A0A1D5QUA9|SRSF10	-0.17426896199847	-0.08821513741547843	0.01719876904932119	-0.11558874732149438	-0.04294851233127078	-0.03197238973827993	-0.010540284625623897	0.03850838154640193	-0.023956741195082037	-0.04542192887208825	-0.08089435408148683	-0.09028336031271815	-0.09364284682347483	-0.09379217540359627	-0.12871465669301177
F6THB0|NQO2	0.15427011944142635	0.03304530729015233	0.12730432427507804	0.04090218740920436	0.13497680646517843	0.13330528121709845	0.06669644718299939	0.08217304294834218	0.1092703173078581	0.09909723104916929	0.10290956957771343	0.08496466739514286	0.12630846557034198	0.07645662696946368	0.1310011534048926
H9EPD6|VPS26A	-0.540932407196054	-0.45525932398053043	-0.5585870852968589	-0.548620653657436	-0.4878090413374152	-0.5173992169085215	-0.5188929034462976	-0.5095641321000407	-0.5242220773409567	-0.5718708043427968	-0.611879233743818	-0.49687579133530524	-0.511528708411349	-0.5313492944181308	-0.5710367647898476
A0A1D5Q7V5|ABLIM3	-0.30831296410521014	-0.27134812830469907	-0.46192921584638524	-0.35133393158295895	-0.35334312670311685	-0.30229928813842977	-0.3304862014486327	-0.3157620286397879	-0.3242398420424646	-0.309814165432833	-0.22929794618104105	-0.3680740203082573	-0.28182325797305524	-0.21694040617646107	-0.14100606259310916
H9G2F9|BCLAF1	0.030373649043518997	0.09068393315809643	0.1333839583917842	0.10701079411306096	0.011852422088414888	0.018328495673174183	-0.03588648049145855	0.12216631059331162	0.013139389919477967	0.18489793942647736	0.09793475416242113	-0.02002848049381767	0.08542214284887233	0.08806532203003295	0.33889953686296936
A0A1D5QMN8|EML4	0.12029423371771195	0.078072882220095	-0.03912175775932426	0.05256301009068466	0.08099212232187519	0.040275957591693695	-0.02516007389840008	0.019382670059216317	-0.03338175398435059	-0.050860936410856455	-0.03919506280109855	0.08120927688189095	-0.05989405546893449	-0.05072345351171026	-0.200864442448847
F6X6F5|GRSF1	-0.046105080803841875	0.06917909334386534	0.025068034237510917	-0.0629142073292514	-0.10559344932026665	-0.13237428669611742	-0.11471165887669263	0.10170220803359586	-0.1239717950597241	0.06932430772903761	0.00399454350502626	-0.07344237093540484	0.0510857789786114	-0.03524827300245996	0.06163374518851597
